,fiture,step,number_of_cycles,activation,solver,hidden_layer,alpha,R2,RMSE
0,fixed_time_to_peak,1,185.0,tanh,lbfgs,"185.0, 100",0.001,0.9421971425238556,0.03889392337598889
1,fixed_time_to_peak,5,37.0,tanh,lbfgs,"37.0, 100",0.001,0.9688890993307454,0.027059342381628326
2,fixed_time_to_peak,10,18.5,tanh,lbfgs,"18.5, 100",0.001,0.865030926996242,0.06642280505109806
3,const_current_time,1,185.0,tanh,lbfgs,"185.0, 100",0.001,0.9786194344519529,0.02365465915208901
4,const_current_time,5,37.0,tanh,lbfgs,"37.0, 100",0.001,0.9705504548290619,0.026326931386734965
5,const_current_time,10,18.5,tanh,lbfgs,"18.5, 100",0.001,-0.0038946716214367516,0.18115242580981558
6,peak (V),1,185.0,tanh,lbfgs,"185.0, 100",0.001,0.8811211365217909,0.05577754848207676
7,peak (V),5,37.0,tanh,lbfgs,"37.0, 100",0.001,0.8423050174920751,0.06092140116220839
8,peak (V),10,18.5,tanh,lbfgs,"18.5, 100",0.001,0.9771899401453793,0.02730632732786673
